Condition	Frequency	Block	Timing File	TaskObject#1	
34	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_50.0_MD_50.0 _RV_20.0 _Dur_800.wav)
35	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_50.0_MD_50.0 _RV_24.0 _Dur_800.wav)
36	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_50.0_MD_50.0 _RV_28.0 _Dur_800.wav)
37	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_50.0_MD_50.0 _RV_32.0 _Dur_800.wav)
38	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_50.0_MD_50.0 _RV_36.0 _Dur_800.wav)
39	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_50.0_MD_50.0 _RV_40.0 _Dur_800.wav)
40	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_50.0_MD_50.0 _RV_44.0 _Dur_800.wav)
41	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_50.0_MD_50.0 _RV_48.0 _Dur_800.wav)
42	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_50.0_MD_50.0 _RV_52.0 _Dur_800.wav)
43	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_50.0_MD_50.0 _RV_56.0 _Dur_800.wav)
44	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_50.0_MD_50.0 _RV_60.0 _Dur_800.wav)
45	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_0.0_MD_0.0 _RV_20.0 _Dur_800.wav)
46	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_0.0_MD_0.0 _RV_24.0 _Dur_800.wav)
47	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_0.0_MD_0.0 _RV_28.0 _Dur_800.wav)
48	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_0.0_MD_0.0 _RV_32.0 _Dur_800.wav)
49	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_0.0_MD_0.0 _RV_36.0 _Dur_800.wav)
50	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_0.0_MD_0.0 _RV_40.0 _Dur_800.wav)
51	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_0.0_MD_0.0 _RV_44.0 _Dur_800.wav)
52	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_0.0_MD_0.0 _RV_48.0 _Dur_800.wav)
53	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_0.0_MD_0.0 _RV_52.0 _Dur_800.wav)
54	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_0.0_MD_0.0 _RV_56.0 _Dur_800.wav)
55	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_0.0_MD_0.0 _RV_60.0 _Dur_800.wav)
56	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_12.5_MD_12.5 _RV_20.0 _Dur_800.wav)
57	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_12.5_MD_12.5 _RV_24.0 _Dur_800.wav)
58	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_12.5_MD_12.5 _RV_28.0 _Dur_800.wav)
59	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_12.5_MD_12.5 _RV_32.0 _Dur_800.wav)
60	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_12.5_MD_12.5 _RV_36.0 _Dur_800.wav)
61	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_12.5_MD_12.5 _RV_40.0 _Dur_800.wav)
62	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_12.5_MD_12.5 _RV_44.0 _Dur_800.wav)
63	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_12.5_MD_12.5 _RV_48.0 _Dur_800.wav)
64	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_12.5_MD_12.5 _RV_52.0 _Dur_800.wav)
65	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_12.5_MD_12.5 _RV_56.0 _Dur_800.wav)
66	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_12.5_MD_12.5 _RV_60.0 _Dur_800.wav)
67	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_25.0_MD_25.0 _RV_20.0 _Dur_800.wav)
68	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_25.0_MD_25.0 _RV_24.0 _Dur_800.wav)
69	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_25.0_MD_25.0 _RV_28.0 _Dur_800.wav)
70	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_25.0_MD_25.0 _RV_32.0 _Dur_800.wav)
71	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_25.0_MD_25.0 _RV_36.0 _Dur_800.wav)
72	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_25.0_MD_25.0 _RV_40.0 _Dur_800.wav)
73	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_25.0_MD_25.0 _RV_44.0 _Dur_800.wav)
74	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_25.0_MD_25.0 _RV_48.0 _Dur_800.wav)
75	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_25.0_MD_25.0 _RV_52.0 _Dur_800.wav)
76	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_25.0_MD_25.0 _RV_56.0 _Dur_800.wav)
77	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_25.0_MD_25.0 _RV_60.0 _Dur_800.wav)
78	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_50.0_MD_50.0 _RV_20.0 _Dur_800.wav)
79	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_50.0_MD_50.0 _RV_24.0 _Dur_800.wav)
80	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_50.0_MD_50.0 _RV_28.0 _Dur_800.wav)
81	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_50.0_MD_50.0 _RV_32.0 _Dur_800.wav)
82	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_50.0_MD_50.0 _RV_36.0 _Dur_800.wav)
83	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_50.0_MD_50.0 _RV_40.0 _Dur_800.wav)
84	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_50.0_MD_50.0 _RV_44.0 _Dur_800.wav)
85	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_50.0_MD_50.0 _RV_48.0 _Dur_800.wav)
86	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_50.0_MD_50.0 _RV_52.0 _Dur_800.wav)
87	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_50.0_MD_50.0 _RV_56.0 _Dur_800.wav)
88	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_50.0_MD_50.0 _RV_60.0 _Dur_800.wav)
89	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_0.0_MD_0.0 _RV_20.0 _Dur_800.wav)
90	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_0.0_MD_0.0 _RV_24.0 _Dur_800.wav)
91	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_0.0_MD_0.0 _RV_28.0 _Dur_800.wav)
92	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_0.0_MD_0.0 _RV_32.0 _Dur_800.wav)
93	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_0.0_MD_0.0 _RV_36.0 _Dur_800.wav)
94	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_0.0_MD_0.0 _RV_40.0 _Dur_800.wav)
95	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_0.0_MD_0.0 _RV_44.0 _Dur_800.wav)
96	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_0.0_MD_0.0 _RV_48.0 _Dur_800.wav)
97	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_0.0_MD_0.0 _RV_52.0 _Dur_800.wav)
98	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_0.0_MD_0.0 _RV_56.0 _Dur_800.wav)
99	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_0.0_MD_0.0 _RV_60.0 _Dur_800.wav)
100	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_12.5_MD_12.5 _RV_20.0 _Dur_800.wav)
101	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_12.5_MD_12.5 _RV_24.0 _Dur_800.wav)
102	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_12.5_MD_12.5 _RV_28.0 _Dur_800.wav)
103	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_12.5_MD_12.5 _RV_32.0 _Dur_800.wav)
104	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_12.5_MD_12.5 _RV_36.0 _Dur_800.wav)
105	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_12.5_MD_12.5 _RV_40.0 _Dur_800.wav)
106	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_12.5_MD_12.5 _RV_44.0 _Dur_800.wav)
107	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_12.5_MD_12.5 _RV_48.0 _Dur_800.wav)
108	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_12.5_MD_12.5 _RV_52.0 _Dur_800.wav)
109	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_12.5_MD_12.5 _RV_56.0 _Dur_800.wav)
110	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_12.5_MD_12.5 _RV_60.0 _Dur_800.wav)
111	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_25.0_MD_25.0 _RV_20.0 _Dur_800.wav)
112	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_25.0_MD_25.0 _RV_24.0 _Dur_800.wav)
113	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_25.0_MD_25.0 _RV_28.0 _Dur_800.wav)
114	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_25.0_MD_25.0 _RV_32.0 _Dur_800.wav)
115	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_25.0_MD_25.0 _RV_36.0 _Dur_800.wav)
116	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_25.0_MD_25.0 _RV_40.0 _Dur_800.wav)
117	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_25.0_MD_25.0 _RV_44.0 _Dur_800.wav)
118	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_25.0_MD_25.0 _RV_48.0 _Dur_800.wav)
119	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_25.0_MD_25.0 _RV_52.0 _Dur_800.wav)
120	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_25.0_MD_25.0 _RV_56.0 _Dur_800.wav)
121	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_25.0_MD_25.0 _RV_60.0 _Dur_800.wav)
122	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_50.0_MD_50.0 _RV_20.0 _Dur_800.wav)
123	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_50.0_MD_50.0 _RV_24.0 _Dur_800.wav)
124	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_50.0_MD_50.0 _RV_28.0 _Dur_800.wav)
125	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_50.0_MD_50.0 _RV_32.0 _Dur_800.wav)
126	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_50.0_MD_50.0 _RV_36.0 _Dur_800.wav)
127	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_50.0_MD_50.0 _RV_40.0 _Dur_800.wav)
128	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_50.0_MD_50.0 _RV_44.0 _Dur_800.wav)
129	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_50.0_MD_50.0 _RV_48.0 _Dur_800.wav)
130	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_50.0_MD_50.0 _RV_52.0 _Dur_800.wav)
131	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_50.0_MD_50.0 _RV_56.0 _Dur_800.wav)
132	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_50.0_MD_50.0 _RV_60.0 _Dur_800.wav)
133	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_0.0_MD_0.0 _RV_20.0 _Dur_800.wav)
134	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_0.0_MD_0.0 _RV_24.0 _Dur_800.wav)
135	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_0.0_MD_0.0 _RV_28.0 _Dur_800.wav)
136	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_0.0_MD_0.0 _RV_32.0 _Dur_800.wav)
137	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_0.0_MD_0.0 _RV_36.0 _Dur_800.wav)
138	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_0.0_MD_0.0 _RV_40.0 _Dur_800.wav)
139	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_0.0_MD_0.0 _RV_44.0 _Dur_800.wav)
140	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_0.0_MD_0.0 _RV_48.0 _Dur_800.wav)
141	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_0.0_MD_0.0 _RV_52.0 _Dur_800.wav)
142	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_0.0_MD_0.0 _RV_56.0 _Dur_800.wav)
143	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_0.0_MD_0.0 _RV_60.0 _Dur_800.wav)
144	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_12.5_MD_12.5 _RV_20.0 _Dur_800.wav)
145	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_12.5_MD_12.5 _RV_24.0 _Dur_800.wav)
146	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_12.5_MD_12.5 _RV_28.0 _Dur_800.wav)
147	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_12.5_MD_12.5 _RV_32.0 _Dur_800.wav)
148	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_12.5_MD_12.5 _RV_36.0 _Dur_800.wav)
149	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_12.5_MD_12.5 _RV_40.0 _Dur_800.wav)
150	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_12.5_MD_12.5 _RV_44.0 _Dur_800.wav)
151	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_12.5_MD_12.5 _RV_48.0 _Dur_800.wav)
152	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_12.5_MD_12.5 _RV_52.0 _Dur_800.wav)
153	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_12.5_MD_12.5 _RV_56.0 _Dur_800.wav)
154	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_12.5_MD_12.5 _RV_60.0 _Dur_800.wav)
155	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_25.0_MD_25.0 _RV_20.0 _Dur_800.wav)
156	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_25.0_MD_25.0 _RV_24.0 _Dur_800.wav)
157	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_25.0_MD_25.0 _RV_28.0 _Dur_800.wav)
158	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_25.0_MD_25.0 _RV_32.0 _Dur_800.wav)
159	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_25.0_MD_25.0 _RV_36.0 _Dur_800.wav)
160	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_25.0_MD_25.0 _RV_40.0 _Dur_800.wav)
161	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_25.0_MD_25.0 _RV_44.0 _Dur_800.wav)
162	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_25.0_MD_25.0 _RV_48.0 _Dur_800.wav)
163	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_25.0_MD_25.0 _RV_52.0 _Dur_800.wav)
164	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_25.0_MD_25.0 _RV_56.0 _Dur_800.wav)
165	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_25.0_MD_25.0 _RV_60.0 _Dur_800.wav)
166	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_50.0_MD_50.0 _RV_20.0 _Dur_800.wav)
167	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_50.0_MD_50.0 _RV_24.0 _Dur_800.wav)
168	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_50.0_MD_50.0 _RV_28.0 _Dur_800.wav)
169	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_50.0_MD_50.0 _RV_32.0 _Dur_800.wav)
170	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_50.0_MD_50.0 _RV_36.0 _Dur_800.wav)
