Condition	Frequency	Block	Timing File	TaskObject#1	
39	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_2_RF_1000.0_RP_0.0_MD_12.5 _RV_44.0 _Dur_800.wav)
40	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_2_RF_1000.0_RP_0.0_MD_25.0 _RV_44.0 _Dur_800.wav)
41	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_2_RF_1000.0_RP_0.0_MD_50.0 _RV_44.0 _Dur_800.wav)
42	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_2_RF_1000.0_RP_0.0_MD_100.0 _RV_44.0 _Dur_800.wav)
43	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_2_RF_1000.0_RP_0.0_MD_3.1 _RV_48.0 _Dur_800.wav)
44	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_2_RF_1000.0_RP_0.0_MD_6.2 _RV_48.0 _Dur_800.wav)
45	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_2_RF_1000.0_RP_0.0_MD_12.5 _RV_48.0 _Dur_800.wav)
46	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_2_RF_1000.0_RP_0.0_MD_25.0 _RV_48.0 _Dur_800.wav)
47	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_2_RF_1000.0_RP_0.0_MD_50.0 _RV_48.0 _Dur_800.wav)
48	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_2_RF_1000.0_RP_0.0_MD_100.0 _RV_48.0 _Dur_800.wav)
49	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_2_RF_1000.0_RP_0.0_MD_3.1 _RV_52.0 _Dur_800.wav)
50	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_2_RF_1000.0_RP_0.0_MD_6.2 _RV_52.0 _Dur_800.wav)
51	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_2_RF_1000.0_RP_0.0_MD_12.5 _RV_52.0 _Dur_800.wav)
52	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_2_RF_1000.0_RP_0.0_MD_25.0 _RV_52.0 _Dur_800.wav)
